Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2011,103335,Thompson South Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Thompson South 1 Llc,"4405 Canton Hwy, Cumming, GA 30040",,6159,5,9204
2011,103381,Tacoa Highwall Miner,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Tacoa Minerals,llc","1669 Mission Hills Road, Alabaster, AL 35007",,168399,23,63849
2011,100787,Rosa Mine,Alabama,Blount,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,Mcoal Corporation,"59950 Us Hwy 231, Oneonta, AL 35121",,37069,25,46151
2011,103404,Reid School Mine,Alabama,Blount,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Taft Coal Sales & Associates,","3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",,245081,36,119754
2011,103407,Trafford Pit,Alabama,Blount,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Travis Creek Energy, Llc","5269 Deans Ferry Road, Trafford, AL 35172",,5835,2,1787
2011,100759,North River #1 Underground Min,Alabama,Fayette,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Jim Walter Resources Inc,"3000 Riverchase Galleria, Birmingham, AL 35244",United Mine Workers of America,2707383,379,882440
2011,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",,81012,15,39536
2011,103374,Meredyth Mine,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,116900,24,58985
2011,102933,Mine No 2,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Alabama Carbon, Llc","440 County Road 464, Flat Rock, AL 35966",,18752,29,64237
2011,103301,Pit Number 2,Alabama,Jackson,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,D & E Mining Llc,"3579 Al Hwy. 117, Flat Rock, AL 35966",,9829,10,5658
2011,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,Oak Grove Resources Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",UNIT,0,31,91519
2011,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",UNIT,526267,484,1173014
2011,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",,258305,43,112788
2011,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,0,13,27568
2011,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,1760870,618,1406905
2011,102951,Majestic Mine No. 2,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,R J R Mining Company Inc,"109 2nd Avenue Ne, Cullman, AL 35055",,90599,9,21849
2011,103180,Sloan Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,284040,64,137496
2011,103182,Fishtrap,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C&h Mining,"3699 Industrial Parkway, Jasper, AL 35501",,118423,34,88733
2011,103278,"Covol Fuels Alabama No.3, Llc",Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Covol Fuels Alabama No.3, Llc","P.O. Box 60, Adger, AL 35006",,0,9,22768
2011,103285,Narley Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"2600 Warrior Jasper Rd, Warrior, AL 35180",,110361,25,57845
2011,103332,Powhatan Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Rac Mining Llc,"P.O. Box 415, Dora, AL 35062",,98530,33,67023
2011,103375,Johnson Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,91237,17,43152
2011,103419,Maxine Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,Warrior Investments Company In,"218 Highway 195, Jasper, AL 35503",,51558,24,59865
2011,103432,Skelton Creek,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"C. Clay, Inc.","P.O. Box 314, Dora, AL 35062",,4439,9,5225
2011,103437,Black Warrior Mine No 1,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,44804,16,25805
2011,103393,Buttahatchee Mine No 1,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,119240,21,47030
2011,102976,Piney Woods Preparation Plant,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,0,9,27766
2011,102976,Piney Woods Preparation Plant,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,0,4,10798
